,id,path,question,a,b,c,d,answer
0,train_0001,train/train_0001.jpg,What's the location of the motor system in this picture?,School yard.,Park,Inside the gym,Inside the mall.,b
1,train_0002,train/train_0002.jpg,What is the traditional Korean architecture in this picture?,The palace.,Sex,The Aspects of the Secrets,Hanok,d
2,train_0003,train/train_0003.jpg,What's the burn that you see in this picture?,Three - wheeled motorcycles.,Motorcycle,Cars,Bicycle,a
3,train_0004,train/train_0004.jpg,What is the bird that you see in this picture?,Sparrows,Seagulls,Egret,duck,c
4,train_0005,train/train_0005.jpg,What is it that people are looking at in this picture?,Sea Drilling,Sea Festival,Fireworks,Sunrise,d
5,train_0006,train/train_0006.jpg,What's the facility that was installed to cross the river that you see in this picture?,G.S.W.,The boat.,Bridge,Tunnel,a
6,train_0007,train/train_0007.jpg,What do you see in this picture?,The ship by the river.,High-rise buildings in the city.,"A tree full of flowers, a stone wall.",Sand dunes in the desert.,c
7,train_0008,train/train_0008.jpg,What is it that you can't see in this picture?,Standlight,Computer,A chair.,Book,b
8,train_0009,train/train_0009.jpg,What's the speed limit on this road?,50km/h,60km/h,30km/h,40km/h,d
9,train_0010,train/train_0010.jpg,What's usually decorated on this wall of space?,Plants and flowers.,Pictures and sculptures,Mirrors and frame,Pictures and posters,d
10,train_0011,train/train_0011.jpg,What's the festival name that you see in the image?,Autumn market,V?rfestival,Winterland,Summer festival,c
11,train_0012,train/train_0012.jpg,What are the seasons that you see in this picture?,fall,Spring,Summer,Winter,d
12,train_0013,train/train_0013.jpg,What is the decorative tree that you see here?,Easter Eggs,Thanksgiving turkey.,Halloween pumpkin.,Christmas Tree,d
13,train_0014,train/train_0014.jpg,What's the color of the television that's below the two televisions that you see in this picture?,Silver,Black,Pink,White,c
14,train_0015,train/train_0015.jpg,What are the sports facilities that you see here?,Tennis Court.,The football field.,The basketball field.,Pocket,a
15,train_0016,train/train_0016.jpg,What's the source of the puppets in this picture?,Wood,Metal,Tow,Plastic,c
16,train_0017,train/train_0017.jpg,What's the main product that's sold in this picture?,A variety of tulips.,The sweet chocolate and the deputer.,Christmas decorations.,A pottery bowl.,a
17,train_0018,train/train_0018.jpg,What's the main color of the stained glass window in this picture?,Black and White,Pink and Orange,Yellow and green.,Red and Blue,d
18,train_0019,train/train_0019.jpg,What are the Christmas decorations that you can't see in this picture?,Santa Hat.,Small Christmas tree,Lanton.,Snow Man’s Puppet,a
19,train_0020,train/train_0020.jpg,What is the food and drink in this picture?,Cheese cake and beer.,Chocolate cake and white wine.,It's strawberries and red wine.,Cookie and coffee.,c
20,train_0021,train/train_0021.jpg,What's not on the shelf?,Mm-hmm.,Plants,Book,A chair.,d
21,train_0022,train/train_0022.jpg,What can't you see in this space?,Green plants.,Red chairs,White statue,Blue bear.,b
22,train_0023,train/train_0023.jpg,Which of the following is not a serial brand in the image?,Corn Flakes,Honey O`s,Frosted Flakes,Joe`s O`s,a
23,train_0024,train/train_0024.jpg,What is the animal above this statue?,HORSE,Cow,Lion,Tiger,b
24,train_0025,train/train_0025.jpg,What are the kinds of clouds that you see in the sky in this picture?,The High Clouds,Cascade Clouds,Clouds of Clouds,Circumnavigation Clouds,c
25,train_0026,train/train_0026.jpg,What is the natural phenomenon that we see mostly in this picture?,Clear skies and clouds,Sunset view,Rainy weather,"Mountains, summit.",a
26,train_0027,train/train_0027.jpg,What is it that is not the color of the flowers in the field in this picture?,Pink,Red,Yellow,Blue,d
27,train_0028,train/train_0028.jpg,What's the place that you can see in this picture?,Beaches,Park,Lake,Mountains,a
28,train_0029,train/train_0029.jpg,What is the natural environment that you see here?,Deserts and oasiss,City and building.,Mountains and Fields,Sea and beach.,c
29,train_0030,train/train_0030.jpg,What's the speed limit on the road that you see here?,40km/h,30km/h,50km/h,20km/h,b
30,train_0031,train/train_0031.jpg,What's reflected in the price of the water that you see in this picture?,Cars and roads.,Mountains and Fields,Trees and buildings.,People and animals.,c
31,train_0032,train/train_0032.jpg,What do you see in this picture?,A walk with lights on at night.,A crowded park during the day.,Winter view of snowfalls,Rise and shine on the beach.,a
32,train_0033,train/train_0033.jpg,What's the hot soup?,The beef.,Bibimbop,Pockets.,Tantanmen,d
33,train_0034,train/train_0034.jpg,What's the food on the plate in the photo?,Sand sandwich.,Fruits,Bread.,Flower-shaped cake.,d
34,train_0035,train/train_0035.jpg,What's the place in this picture?,The rock climbing gym.,The pool.,Helm.,Yoga studio.,a
35,train_0036,train/train_0036.jpg,What is the object that the cat in the picture scratches?,Iron fence.,Rock,Plastic Box,Tree stump,d
36,train_0037,train/train_0037.jpg,What's the name of the bottle in the picture?,Mount Hanra,The Delicacy,Like the first time.,_Other Organiser,b
37,train_0038,train/train_0038.jpg,What is the food in this picture?,Tattoos,Choake.,Fuck you.,Kimbab.,b
38,train_0039,train/train_0039.jpg,What's the food that's sold in the restaurants that you see in this picture?,hamburgers,Chicken.,Pizza.,Fuck you.,d
39,train_0040,train/train_0040.jpg,What are some of the electronic components in the picture that you're pressing on?,LED,transistor,Resistance,Button,d
